mac_ip_mismatch,multiple_ips_per_mac,ttl_mean,ttl_var,abnormal_ttl_count,fragmentation_rate,syn_count,ack_count,fin_count,rst_count,incomplete_handshakes,rst_syn_ratio,avg_tcp_window,udp_burst_rate,udp_flood_indicator,icmp_flood_rate,echo_req_res_ratio,payload_entropy,header_payload_ratio,iat_mean,iat_min,iat_max,iat_std,pps,bps,burst_detection,flow_duration,total_packets,total_bytes,avg_packet_size,min_packet_size,max_packet_size,fwd_bwd_packet_ratio,one_sided_flow,unique_ports_per_sec,connection_attempt_rate,beaconing_score,out_in_byte_ratio,pct_incomplete_handshakes,src_ip,dst_ip,protocol
0,1,128,0.5769979601936573,0,0,4,5,0,0,0,0.0,64240,0,0,0,0,0,0.6050773068230708,0.0804004193534018,0.00804004193534018,0.1608008387068036,0.0402002096767009,12.437746072000921,5261.16658845639,0,0.8844046128874197,11,4653,423.0,40,1500,1.0,0,1.0,4.52281675345488,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.5691056225824426,0,0,2,3,0,0,0,0.0,64240,0,0,0,0,0,0.4508893776413567,0.283230406789187,0.0283230406789187,0.566460813578374,0.1416152033945935,3.530694360596376,1903.0442603614467,0,9.629833830832357,34,18326,539.0,40,1500,1.0,0,1.0,0.2076879035644927,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.10248087311645548,0,0,2,2,0,0,0,0.0,64240,0,0,0,0,0,1.0,10.676244041738471,1.0676244041738472,21.352488083476942,0.1,0.09366589936409551,5.619953961845731,0,42.704976166953884,4,240,60.0,40,1500,1.0,0,1.0,0.04683294968204776,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.7012376903621019,0,0,1,0,0,1,1,1.0,64240,0,0,0,0,0,1.0,0.15351747294587903,0.015351747294587903,0.30703494589175806,0.07675873647293951,20.0,880.0,0,0.0025199306063625935,2,88,44.0,40,1500,1.0,1,20.0,10.0,0,1.0,1,1.1.1.1,2.2.2.2,TCP
0,1,64,0.2725992294585986,0,0,1,0,0,0,1,0.0,64240,0,0,0,0,0,1.0,0.20478325439726403,0.020478325439726403,0.40956650879452805,0.10239162719863201,10.0,440.0,0,0.040787296115792335,1,44,44.0,40,1500,1.0,1,20.0,10.0,0,1.0,1,1.1.1.1,2.2.2.2,TCP
0,1,128,0.839352421444447,0,0,4,3,0,0,0,0.0,64240,0,0,0,0,0,0.6631404700478172,0.2583672238600888,0.025836722386008884,0.5167344477201776,0.1291836119300444,3.8704599796355,2473.2239269870847,0,9.817954506683375,38,24282,639.0,40,1500,1.0,0,1.0,0.4074168399616316,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.19747352763399773,0,0,1,1,0,0,0,0.0,64240,0,0,0,0,0,0.2051307627021931,0.22677409023649187,0.02267740902364919,0.45354818047298373,0.11338704511824593,4.409674839648338,745.2350479005692,0,7.483544977804232,33,5577,169.0,40,1500,1.0,0,1.0,0.13362651029237388,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.5692372077412994,0,0,1,3,0,0,0,0.0,64240,0,0,0,0,0,0.5226583296291771,0.07758230166627118,0.007758230166627119,0.15516460333254237,0.03879115083313559,12.889537671898548,13198.886576024113,0,3.8791150833135593,50,51200,1024.0,40,1500,1.0,0,1.0,0.257790753437971,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.14824226556346898,0,0,1,3,0,0,0,0.0,64240,0,0,0,0,0,0.550981113081702,0.15322670027816054,0.015322670027816055,0.3064534005563211,0.07661335013908027,6.5262777191223655,8255.741314689792,0,4.137120907510335,27,34155,1265.0,40,1500,1.0,0,1.0,0.24171398959712467,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.26805885668942175,0,0,4,2,0,0,0,0.0,64240,0,0,0,0,0,0.40819659879407477,1.2944245955287506,0.12944245955287506,2.588849191057501,0.6472122977643753,0.7725440349744876,1048.3422554603796,0,9.060972168701253,7,9499,1357.0,40,1500,1.0,0,1.0,0.44145373427113577,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.6276301372672636,0,0,3,3,0,0,0,0.0,64240,0,0,0,0,0,0.7072192950136615,0.08954246048421706,0.008954246048421707,0.17908492096843412,0.04477123024210853,11.16788610221697,8174.892626822822,0,3.6712408798528995,41,30012,732.0,40,1500,1.0,0,1.0,0.817162397723193,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.5849641662066224,0,0,1,5,0,0,0,0.0,64240,0,0,0,0,0,0.6957633346814461,0.08527089983063062,0.008527089983063061,0.17054179966126123,0.04263544991531531,11.727330214484082,10531.142532606706,0,2.217043395596396,26,23348,898.0,40,1500,1.0,0,1.0,0.45105116209554164,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.12288164259164092,0,0,4,4,0,0,0,0.0,64240,0,0,0,0,0,0.2923192881064839,0.015219337519468008,0.0015219337519468009,0.030438675038936016,0.007609668759734004,65.70588231720582,76218.82348795875,0,0.6239928382981883,41,47560,1160.0,40,1500,1.0,0,1.0,6.410329982166421,1,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.09179884325467225,0,0,3,4,0,0,0,0.0,64240,0,0,0,0,0,1.0,9.099915879569116,0.9099915879569116,18.19983175913823,0.1,0.10989112572404904,6.593467543442943,0,45.49957939784558,5,300,60.0,40,1500,1.0,0,1.0,0.06593467543442942,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.6384163348905536,0,0,2,3,0,0,0,0.0,64240,0,0,0,0,0,0.23645207562314716,0.1847258452521797,0.01847258452521797,0.3694516905043594,0.09236292262608985,5.41342765889009,1012.3109722124467,0,8.312663036348086,45,8415,187.0,40,1500,1.0,0,1.0,0.2405967848395595,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.2328721569352149,0,0,1,0,0,0,1,0.0,64240,0,0,0,0,0,1.0,0.04443996161048335,0.004443996161048336,0.0888799232209667,0.022219980805241676,10.0,440.0,0,0.006296222344598316,1,44,44.0,40,1500,1.0,1,20.0,10.0,0,1.0,1,1.1.1.1,2.2.2.2,TCP
0,1,64,0.34545569368771967,0,0,1,0,0,1,1,1.0,64240,0,0,0,0,0,1.0,0.03161395111040839,0.0031613951110408393,0.06322790222081678,0.015806975555204196,20.0,880.0,0,0.02616788594526798,2,88,44.0,40,1500,1.0,1,20.0,10.0,0,1.0,1,1.1.1.1,2.2.2.2,TCP
0,1,128,0.8765291014548554,0,0,5,2,0,0,0,0.0,64240,0,0,0,0,0,0.9,0.03451845141256893,0.003451845141256893,0.06903690282513786,0.041422141695082716,565.7687703873488,708342.5005249607,0,1.7303888995671075,979,1225708,1252.0,40,1500,1.0,0,1.0,2.889523852846521,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.3268020645332842,0,0,5,2,0,0,0,0.0,64240,0,0,0,0,0,0.4347613368435495,0.18250234731535747,0.01825023473153575,0.36500469463071494,0.09125117365767874,5.479381578977919,6882.103263196266,0,8.577610323821801,47,59032,1256.0,40,1500,1.0,0,1.0,0.5829129339338212,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.9659193794325889,0,0,1,3,0,0,0,0.0,64240,0,0,0,0,0,0.20160831339476695,0.7637629293024663,0.07637629293024663,1.5275258586049325,0.3818814646512331,1.3093068040279012,1249.0786910426177,0,8.401392222327129,11,10494,954.0,40,1500,1.0,0,1.0,0.11902789127526375,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.7554945592241011,0,0,1,0,0,1,1,1.0,64240,0,0,0,0,0,1.0,0.2126998090994311,0.02126998090994311,0.4253996181988622,0.10634990454971555,20.0,880.0,0,0.043520079712837806,2,88,44.0,40,1500,1.0,1,20.0,10.0,0,1.0,1,1.1.1.1,2.2.2.2,TCP
0,1,128,0.37693749626578266,0,0,5,2,0,0,0,0.0,64240,0,0,0,0,0,0.22347197989077242,0.3435781859462578,0.03435781859462578,0.6871563718925155,0.1717890929731289,2.910545665889333,3914.683920621153,0,7.902298276763929,23,30935,1345.0,40,1500,1.0,0,1.0,0.6327273186715942,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.09257345103970027,0,0,1,0,0,1,1,1.0,64240,0,0,0,0,0,1.0,0.13394221938152484,0.013394221938152484,0.2678844387630497,0.06697110969076242,10.0,440.0,0,0.05433382951135059,1,44,44.0,40,1500,1.0,1,20.0,10.0,0,1.0,1,1.1.1.1,2.2.2.2,TCP
0,1,64,0.5374435284289767,0,0,3,5,0,0,0,0.0,64240,0,0,0,0,0,0.5974157462224248,0.23970146614300797,0.0239701466143008,0.47940293228601594,0.11985073307150398,4.171856001095093,3133.063856822415,0,8.629252781148287,36,27036,751.0,40,1500,1.0,0,1.0,0.3476546667579244,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.815237023208653,0,0,1,1,0,0,0,0.0,64240,0,0,0,0,0,0.767413968346242,0.13636431536712385,0.013636431536712386,0.2727286307342477,0.06818215768356192,7.333296818216495,2639.9868545579384,0,3.9545651456465913,29,10440,360.0,40,1500,1.0,0,1.0,0.25287230407643085,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,64,0.9746600337602452,0,0,3,3,0,0,0,0.0,64240,0,0,0,0,0,0.24430816459755783,0.16745521611381192,0.01674552161138119,0.33491043222762384,0.08372760805690596,5.97174589843976,4651.990054884573,0,1.6745521611381193,10,7790,779.0,40,1500,1.0,0,1.0,1.791523769531928,0,1.0,0,1.1.1.1,2.2.2.2,TCP
0,1,128,0.6932098821670204,0,0,3,1,0,0,0,0.0,64240,0,0,0,0,0,0.5421547126680895,0.2616257395587359,0.026162573955873594,0.5232514791174718,0.13081286977936796,3.8222538871237344,500.7152592132092,0,8.110397926320813,31,4061,131.0,40,1500,1.0,0,1.0,0.36989553746358717,0,1.0,0,1.1.1.1,2.2.2.2,TCP
