mac_ip_mismatch,multiple_ips_per_mac,ttl_mean,ttl_var,abnormal_ttl_count,fragmentation_rate,syn_count,ack_count,fin_count,rst_count,incomplete_handshakes,rst_syn_ratio,avg_tcp_window,udp_burst_rate,udp_flood_indicator,icmp_flood_rate,echo_req_res_ratio,payload_entropy,header_payload_ratio,iat_mean,iat_min,iat_max,iat_std,pps,bps,burst_detection,flow_duration,total_packets,total_bytes,avg_packet_size,min_packet_size,max_packet_size,fwd_bwd_packet_ratio,one_sided_flow,unique_ports_per_sec,connection_attempt_rate,beaconing_score,out_in_byte_ratio,pct_incomplete_handshakes,src_ip,dst_ip,protocol,packet_count,byte_count,dst_port
0,1,128,1.097522517387788,0,0,4,4,0,0,0,0.0,64240,0,0,0,0,0,0.18908558383473217,3.0227258846514022,1.5113629423257011,4.534088826977103,2.418180707721122,0.33082721958935607,130.01509729861692,0,9.068177653954207,3,1179,393.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,3,1179,80
0,1,64,0.3756051422977167,0,0,4,6,0,0,0,0.0,64240,0,0,0,0,0,0.6890451001000336,0.7560650291811273,0.37803251459056364,1.134097543771691,0.6048520233449018,1.3226375528611234,165.32969410764042,0,3.7803251459056364,5,625,125.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,5,625,80
0,1,64,1.1553929198530786,0,0,1,3,0,0,0,0.0,64240,0,0,0,0,0,0.6481242276499862,0.3988994945638753,0.19944974728193765,0.598349241845813,0.31911959565110026,2.506897134811664,1180.7485504962938,0,6.78129140758588,17,8007,471.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,17,8007,80
0,1,64,1.0297215407798777,0,0,1,3,0,0,0,0.0,64240,0,0,0,0,0,0.44114827187233185,0.28118605626014204,0.14059302813007102,0.42177908439021305,0.22494884500811363,3.556364114566336,4943.346119247207,0,5.061349012682557,18,25020,1390.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,18,25020,80
0,1,64,1.7668568704383325,0,0,2,7,0,0,0,0.0,64240,0,0,0,0,0,0.3032748138637293,0.372833493709815,0.1864167468549075,0.5592502405647225,0.298266794967852,2.682162458232155,1563.7007131493463,0,7.4566698741963,20,11660,583.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,20,11660,80
0,1,64,0.3054440054313874,0,0,1146,1146,0,0,0,0.0,64240,0,0,0,0,0,0.5,0.3478283977745017,0.17391419888725085,0.5217425966617526,0.17391419888725085,994.7264697484233,1467221.5428789244,0,2.305156311543538,2293,3382175,1475.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,2293,3382175,80
0,1,64,0.8438438842410267,0,0,4,4,0,0,0,0.0,64240,0,0,0,0,0,0.42578286513906904,1.6526494034687549,0.8263247017343774,2.4789741052031324,1.322119522775004,0.6050890151904539,405.4096401776041,0,8.263247017343774,5,3350,670.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,5,3350,80
0,1,64,0.7123437915098914,0,0,1,6,0,0,0,0.0,64240,0,0,0,0,0,0.2380201195135219,0.6241167661943189,0.31205838309715944,0.9361751492914783,0.49929341295545515,1.6022642783620553,1272.197837019472,0,6.865284428137508,11,8734,794.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,11,8734,80
0,1,64,0.08205314480339876,0,0,5,8,0,0,0,0.0,64240,0,0,0,0,0,0.2544061770151431,0.25272723352137494,0.12636361676068747,0.3790908502820624,0.20218178681709997,3.9568351462028843,4665.1086373732005,0,3.538181269299249,14,16506,1179.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,14,16506,80
0,1,64,1.2189396402234827,0,0,1,0,0,0,1,0.0,64240,0,0,0,0,0,1.0,0.6077214598989893,0.30386072994949465,0.9115821898484839,0.30386072994949465,1.6454906827976952,2364.570111180288,0,0.014864991342021457,2,88,44.0,40,1500,1.0,1,10.0,67.27215489006886,0.0,1.0,0.5,1.1.1.1,2.2.2.2,TCP,2,88,80
0,1,64,1.4642038001991178,0,0,3,6,0,0,0,0.0,64240,0,0,0,0,0,0.7422073749597429,0.17268574932110767,0.08634287466055383,0.2590286239816615,0.13814859945688615,5.790865800631345,1725.678008588141,0,2.4176004904955075,14,4172,298.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,14,4172,80
0,1,64,0.4465426910637811,0,0,5,5,0,0,0,0.0,64240,0,0,0,0,0,0.7881856733273175,0.480936028924191,0.2404680144620955,0.7214040433862865,0.3847488231393528,2.079278614739899,1247.5671688439395,0,9.13778454955963,19,11400,600.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,19,11400,80
0,1,64,1.9642573531292364,0,0,5,9,0,0,0,0.0,64240,0,0,0,0,0,0.6428662987521713,0.05155783562436136,0.02577891781218068,0.07733675343654203,0.04124626849948909,19.395693940408442,11404.668036960164,0,0.9280410412385044,18,10584,588.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,18,10584,80
0,1,64,0.8599197035730133,0,0,2,2,0,0,0,0.0,64240,0,0,0,0,0,0.7938913073315329,0.20028004444945074,0.10014002222472537,0.3004200666741761,0.1602240355595606,4.993008678168098,2097.0636448306013,0,2.8039206222923103,14,5880,420.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,14,5880,80
0,1,128,1.9410039295785089,0,0,2151,2151,0,0,0,0.0,64240,0,0,0,0,0,0.5,0.10952534776269827,0.05476267388134914,0.1642880216440474,0.05476267388134914,3204.758993087064,4480253.072335715,1,1.342690670119636,4303,6015594,1398.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,4303,6015594,80
0,1,128,1.7849574950652642,0,0,1359,1359,0,0,0,0.0,64240,0,0,0,0,0,0.5,0.45964719591661546,0.22982359795830773,0.6894707938749232,0.22982359795830773,1558.4590397771658,1588069.7615329318,1,1.7440304368786168,2718,2769642,1019.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,2718,2769642,80
0,1,64,0.18705650035496024,0,0,1,0,0,1,1,1.0,64240,0,0,0,0,0,1.0,0.8860484940696616,0.4430242470348308,1.3290727411044925,0.4430242470348308,1.1286063987389154,264.0938973049062,0,0.02975626516615812,2,88,44.0,40,1500,1.0,1,10.0,33.60636808470516,0.0,1.0,0.5,1.1.1.1,2.2.2.2,TCP,2,88,80
0,1,64,0.945725467561163,0,0,2,5,0,0,0,0.0,64240,0,0,0,0,0,0.1845397349906288,0.34164052523510213,0.17082026261755107,0.5124607878526533,0.2733124201880817,2.927053221545786,4381.798672654041,0,6.832810504702042,20,29940,1497.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,20,29940,80
0,1,64,0.17170503891178468,0,0,4,8,0,0,0,0.0,64240,0,0,0,0,0,0.2958956114843742,0.04351616468222249,0.021758082341111245,0.06527424702333373,0.03481293174577799,22.979966348195354,5078.5725629511735,0,0.5657101408688924,13,2873,221.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,13,2873,80
0,1,64,1.910970154656986,0,0,2,7,0,0,0,0.0,64240,0,0,0,0,0,0.21972257169490178,0.20793672270629435,0.10396836135314717,0.3119050840594415,0.16634937816503548,4.809155338148116,5684.421609691073,0,0.623810168118883,3,3546,1182.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,3,3546,80
0,1,64,0.31327426438590766,0,0,1068,1068,0,0,0,0.0,64240,0,0,0,0,0,0.5,2.8578724144001604,1.4289362072000802,4.28680862160024,1.4289362072000802,1281.4570309368012,1820950.4409611947,1,1.6668526126377334,2136,3035256,1421.0,40,1500,1.0,0,0.1,0.0,0.0,1.0,0.0,1.1.1.1,2.2.2.2,TCP,2136,3035256,80
